Angle,MT
0,5476
3,5486
6,5496
9,5506
12,5516
15,5525
18,5535
21,5545
24,5554
27,5564
30,5573
33,5582
36,5592
39,5601
42,5610
45,5619
48,5627
51,5636
54,5645
57,5653
60,5662
63,5670
66,5679
69,5687
72,5695
75,5703
78,5711
81,5719
84,5727
87,5735
90,5743
93,5750
96,5411
99,5423
102,5435
105,5447
108,5458
111,5470
114,5481
117,5491
120,5502
123,5512
126,5522
129,5532
132,5541
135,5400
138,5407
141,5414
144,5421
147,5429
150,5436
153,5442
156,5449
159,5454
162,5459
165,5459
168,5442
171,5400
174,5510
177,5513
180,5518
183,5524
186,5530
189,5537
192,5543
195,5550
198,5557
201,5563
204,5411
207,5433
210,5455
213,5477
216,5499
219,5520
222,5541
225,5562
228,5582
231,5603
234,5622
237,5641
240,5660
243,5679
246,5672
249,5674
252,5678
255,5683
258,5688
261,5400
264,5407
267,5419
270,5430
273,5441
276,5856
279,5870
282,5884
285,5897
288,5910
291,5923
294,5936
297,5948
300,5960
303,5972
306,5983
309,5995
321,5400
324,5451
327,5488
330,5520
333,5548
336,5400
339,5407
342,5416
345,5426
348,5436
351,5446
354,5456
357,5466
